time_s,setpoint,true_speed,raw_measurement,filtered_measurement,control_output,error,jitter_ms,sensor_delay_ms,overrun
1.971424,40.000000,40.348815,38.499724,38.379957,42.297937,1.620043,0.108036,20,0
1.982283,40.000000,40.378070,40.640539,38.626351,41.372717,1.373649,0.967311,15,0
1.992016,40.000000,40.428962,38.599041,38.623374,42.159299,1.376626,0.699599,11,0
2.001787,40.000000,40.479168,38.599041,38.623374,42.186161,1.376626,0.471112,11,0
2.011522,40.000000,40.526221,38.847547,38.647808,42.126026,1.352192,0.206282,18,0
2.021530,40.000000,40.575028,38.847547,38.647808,42.234485,1.352192,0.213859,18,0
2.032369,40.000000,40.623446,38.847547,38.647808,42.269642,1.352192,1.053022,18,0
2.042067,40.000000,40.625844,42.380793,39.054687,40.707391,0.945313,0.751092,30,0
2.051758,40.000000,40.663752,42.380793,39.054687,41.952607,0.945313,0.442010,30,0
2.061453,40.000000,40.701278,42.380793,39.054687,41.977185,0.945313,0.137032,30,0
2.073864,40.000000,40.724162,40.222089,39.181929,41.502212,0.818071,2.547660,28,0
2.084721,40.000000,40.738733,40.750166,39.352860,41.234132,0.647140,3.405003,19,0
2.092278,40.000000,40.768019,40.750166,39.352860,41.763751,0.647140,0.961969,19,0
2.102009,40.000000,40.744105,43.675087,39.823964,39.931022,0.176036,0.693042,19,0
2.111683,40.000000,40.761385,43.675087,39.823964,41.348911,0.176036,0.367309,19,0
2.121407,40.000000,40.801231,37.948574,39.619555,42.155999,0.380445,0.090950,17,0
2.132297,40.000000,40.809097,40.732172,39.740825,41.076555,0.259175,0.980786,7,0
2.142012,40.000000,40.827326,40.732172,39.740825,41.447104,0.259175,0.696333,7,0
2.151774,40.000000,40.858129,38.685541,39.625804,41.905417,0.374196,0.458140,22,0
2.161491,40.000000,40.878470,38.685541,39.625804,41.570082,0.374196,0.174542,22,0
2.172252,40.000000,40.898509,38.685541,39.625804,41.579811,0.374196,0.935832,22,0
2.181958,40.000000,40.890894,41.863453,39.869698,40.632012,0.130302,0.642316,30,0
2.191594,40.000000,40.904500,41.863453,39.869698,41.367082,0.130302,0.277555,30,0
2.202353,40.000000,40.917813,41.863453,39.869698,41.370470,0.130302,1.036787,30,0
2.212137,40.000000,40.921064,40.669548,39.956878,41.031588,0.043122,0.820536,29,0
2.221809,40.000000,40.931726,40.669548,39.956878,41.294250,0.043122,0.492804,29,0
2.231582,40.000000,40.912094,42.412408,40.224520,40.244608,-0.224520,0.265730,17,0
2.242421,40.000000,40.915797,42.412408,40.224520,41.041697,-0.224520,1.105138,17,0
2.251651,40.000000,40.919228,42.412408,40.224520,41.035859,-0.224520,0.335463,17,0
2.261410,40.000000,40.961823,37.889533,39.873010,42.410052,0.126990,0.093911,5,0
2.272143,40.000000,40.973166,37.889533,39.873010,41.358822,0.126990,0.827346,5,0
2.281841,40.000000,40.984279,37.889533,39.873010,41.362124,0.126990,0.525353,5,0
2.291574,40.000000,41.004226,39.132185,39.792263,41.682437,0.207737,0.258198,26,0
2.302300,40.000000,41.014562,39.978295,39.812540,41.365992,0.187460,0.983873,11,0
2.311948,40.000000,41.026480,39.978295,39.812540,41.431696,0.187460,0.631918,11,0
2.321644,40.000000,41.019121,41.372842,39.982606,40.768890,0.017394,0.327752,17,0
2.332394,40.000000,41.026561,41.372842,39.982606,41.279541,0.017394,1.078012,17,0
2.342135,40.000000,41.033802,41.372842,39.982606,41.279993,0.017394,0.818554,17,0
2.351765,40.000000,41.018575,41.804437,40.181178,40.500853,-0.181178,0.449200,28,0
2.361449,40.000000,41.020669,41.804437,40.181178,41.091857,-0.181178,0.132540,28,0
2.372284,40.000000,41.006657,41.482576,40.323025,40.530256,-0.323025,0.968396,17,0
2.381954,40.000000,41.016386,39.388783,40.221196,41.347176,-0.221196,0.638074,20,0
2.391697,40.000000,41.016945,39.388783,40.221196,41.035940,-0.221196,0.381071,20,0
2.401395,40.000000,41.017323,39.388783,40.221196,41.030189,-0.221196,0.079239,20,0
2.412174,40.000000,41.017526,39.388783,40.221196,41.024438,-0.221196,0.858057,20,0
2.421949,40.000000,41.006400,41.133944,40.320682,40.628106,-0.320682,0.632953,30,0
2.431670,40.000000,41.023445,38.720460,40.146265,41.602988,-0.146265,0.354130,9,0
2.441419,40.000000,41.024945,38.720460,40.146265,41.075933,-0.146265,0.102901,9,0
2.452226,40.000000,40.994217,42.769839,40.432223,39.949458,-0.432223,0.910176,27,0
2.461916,40.000000,40.955614,43.126614,40.725900,39.643119,-0.725900,0.600293,4,0
2.471677,40.000000,40.942747,43.126614,40.725900,40.505276,-0.725900,0.361412,4,0
2.482427,40.000000,40.960745,38.187409,40.449215,41.572667,-0.449215,1.110913,21,0
2.492156,40.000000,40.970857,39.085095,40.300532,41.314664,-0.300532,0.840418,9,0
2.501849,40.000000,40.967713,39.085095,40.300532,40.860800,-0.300532,0.533260,9,0
2.511716,40.000000,40.948833,41.576611,40.439619,40.306931,-0.439619,0.400018,25,0
2.521431,40.000000,40.942088,41.576611,40.439619,40.712762,-0.439619,0.114636,25,0
2.532244,40.000000,40.922777,41.456503,40.550455,40.266190,-0.550455,0.927774,18,0
2.542400,40.000000,40.913108,41.456503,40.550455,40.584386,-0.550455,1.083909,18,0
2.552124,40.000000,40.903307,41.456503,40.550455,40.570074,-0.550455,0.807637,18,0
2.561904,40.000000,40.876469,41.933403,40.701190,39.963975,-0.701190,0.588321,28,0
2.571618,40.000000,40.862797,41.933403,40.701190,40.397950,-0.701190,0.302029,28,0
2.582387,40.000000,40.752811,48.568260,41.558667,37.013266,-1.558667,1.070913,19,0
2.592051,40.000000,40.718307,48.568260,41.558667,39.545171,-1.558667,0.734616,19,0
2.601723,40.000000,40.683631,48.568260,41.558667,39.504645,-1.558667,0.407371,19,0
